景区名称,地区,景区等级,经度,纬度,
石景山游乐园,北京,4A,116.2155183,39.91781108,
首钢工业文化旅游区,北京,3A,116.170035,39.91590409,
八大处公园,北京,4A,116.1901956,39.96852662,
北京龙徽葡萄酒博物馆,北京,3A,116.2601843,39.93266315,
北京西山国家森林公园,北京,3A,116.209193,39.97853537,
阳台山自然风景区,北京,2A,116.105479,40.07526005,
玉渊潭公园,北京,4A,116.3265255,39.92246669,
圆明园遗址公园,北京,4A,116.309804,40.01265807,
香山公园,北京,4A,116.195044,39.99619417,
颐和园,北京,5A,116.278749,40.00486904,
北京鹫峰国家森林公园,北京,3A,116.086286,40.0615841,
中央电视塔,北京,4A,116.3134082,39.92527777,
北京市植物园,北京,4A,116.2161863,40.00756107,
紫竹院公园,北京,4A,116.3248304,39.94843709,
太平洋海底世界博览馆,北京,3A,116.312857,39.92490511,
北京汇通诺尔狂飚乐园,北京,3A,116.1450961,40.05758866,
北京凤凰岭自然风景公园,北京,4A,116.0915879,40.11288371,
上庄翠湖农业观光园景区,北京,2A,116.1788867,40.12940154,
稻香湖公园,北京,2A,116.188155,40.09877489,
北京西山大觉寺,北京,3A,116.112938,40.05850206,
北京市海淀百望山森林公园,北京,3A,116.262167,40.03608807,
大钟寺古钟博物馆,北京,3A,116.3446107,39.97491633,
田妈妈蘑法森林,北京,1A,116.184544,40.11920503,
皇家菜博物馆,北京,3A,116.275436,39.95130849,
北京瓜草地旅游开发有限公司,北京,2A,115.981975,39.95428209,
十八潭景区,北京,3A,115.9153585,40.00956903,
百花山自然风景区,北京,3A,115.5853287,39.84553227,
小龙门国家森林公园,北京,2A,115.451332,39.98981809,
灵山风景区,北京,2A,115.508638,40.04596104,
北京京西古道景区管理中心,北京,3A,116.056062,39.97249705,
神泉峡景区,北京,3A,115.979645,40.04867007,
灵水举人村,北京,3A,115.7380322,40.00947875,
戒台寺,北京,4A,116.092691,39.875332,
北京双龙峡自然风景区,北京,3A,115.7241148,39.95688951,
八奇洞风景区,北京,4A,116.033785,39.89954803,
潭柘寺,北京,4A,116.0376202,39.91122022,
妙峰山风景名胜区,北京,3A,116.032934,40.07094304,
北京珍珠湖景区,北京,3A,115.7820799,40.08698792,
黄芩仙谷景区,北京,3A,115.674393,39.97407008,
北京爨柏景区管理中心,北京,3A,115.6693326,39.97754161,
定都阁景区,北京,3A,116.062083,39.91321306,
聚灵峡（灵山古道）景区,北京,3A,115.4894021,39.99971017,
谷山村风景区,北京,3A,116.065568,39.99762598,
白草畔自然风景区,北京,3A,115.6107219,39.81381843,
北京金水湖旅游开发有限公司,北京,3A,116.692759,40.40311705,
韩村河景区,北京,3A,115.9603916,39.60794189,
北京百瑞谷景区,北京,3A,115.659979,39.86190305,
北京市西周燕都遗址博物馆,北京,3A,116.0633186,39.62290686,
龙门生态园景区,北京,3A,115.907708,39.62365007,
房山世界地质公园博物馆,北京,3A,115.880227,39.59056202,
张坊古战道,北京,3A,115.720894,39.57696712,
北京莱恩堡国际酒庄,北京,3A,116.2187779,39.79011448,
上方山国家森林公园,北京,3A,115.83208,39.68001212,
北京十渡风景名胜区,北京,4A,115.606398,39.64440307,
中粮智慧农场,北京,3A,116.076944,39.59682888,
青龙湖水上游乐园,北京,3A,116.087852,39.79423712,
云居寺,北京,4A,115.7813913,39.61520818,
圣莲山旅游度假区,北京,4A,115.7375883,39.84753208,
没有共产党就没有新中国纪念馆,北京,2A,115.5911782,39.7868478,
石花洞,北京,4A,115.949587,39.80389211,
周口店遗址博物馆,北京,4A,115.9432415,39.69358891,
北京百花山旅游景区,北京,3A,115.5975277,39.84011149,
坡峰岭风景区,北京,2A,115.8442702,39.70977933,
