地点,短评,天数,人均费用,人物,玩法
平遥,写一封信，寄给春天——守护之城，平遥等你！【附平遥古城全新游玩攻略】,3,1000,三五好友,短途周末 美食 古镇 夏季 冬季
句容,自驾去江苏宝华山千华古村夜太美1500年隆昌寺竟然是律宗第一山,2,500,三五好友,深度游 自驾 摄影 跨年
伊春,伊春完美的清凉夏日、洗肺、避暑4日游,4,800,三五好友,深度游 毕业游 摄影 夏季 赏秋
霞浦,霞浦---醉美的滩涂，最美的摄影地,5,1880,三五好友,深度游 摄影 冬季
平遥,平遥一座注定以行走为使命的城【附平遥古城旅游攻略】,3,800,情侣,第一次 古镇 婚纱 踏春
莽山,湖南郴州莽山～高椅岭～东江湖～小东江最完美的攻略,3,1000,三五好友,短途周末 跨年
平遥,冬雪过后一定是春暖花开，疫情结束后的必备旅行清单【附平遥一年四季旅行攻略】,2,800,三五好友,深度游 春节 夏季
大连,错峰自驾游，慢慢体会大连的美,12,2000,家庭,自驾
宁波,触手可及却比远方更远，我想私藏这座世外小岛,3,2000,三五好友,海滨海岛 摄影 游轮 徒步 踏春
马六甲,东马漂流记|用60个小时记住你,4,1100,三五好友,跨年 人文 第一次
澳门,妈阁是座城——用7天认识澳门,7,2000,独自一人,深度游 冬季
清迈,夜市+SPA+飞跃+大象+无边泳池，便宜舒服清迈四天自由行,4,2000,情侣,第一次 美食
扎达尔,不穿衣服游欧洲，克罗地亚，一个奇妙的国度,5,1500,三五好友,第一次 深度游 自驾 春节
三亚,最省钱的三亚17日深度游,17,2500,家庭,深度游 寒假
九寨沟,【史上最强】最完美最省钱四川成都九寨峨眉乐山11DAYS,10,2500,家庭,第一次 穷游 摄影 暑假
上海,上海美食之旅,3,400,家庭,穷游 美食 古镇 春节
成都,成都5日游,5,500,三五好友,穷游 春节
桂林山水,桂林山水的休闲式玩法,3,2000,三五好友,深度游 美食 摄影 寒假
桂林,桂林三天两夜自助游,3,500,三五好友,深度游 寒假
北京,北京萌叔一家自驾海南，不急不赶，一路向南,4,1500,亲子,自驾 春节
