序号,景点名称,地区,评分,评级,地址,评语,价格,销量,省市自治区
1,八达岭长城,北京·北京·延庆县,0.82,5A景区,北京市延庆县军都山关沟古道北口216省道附近,不到长城非好汉,40,16382,北京市
2,圆明园,北京·北京·海淀区,0.76,4A景区,北京市海淀区清华西路28号,追忆昔日万园之园,46,6967,北京市
3,颐和园,北京·北京·海淀区,0.82,5A景区,北京市海淀区新建宫门路19号,保存完整的一座皇家行宫御苑,39.8,10820,北京市
4,恭王府,北京·北京·西城区,0.74,5A景区,北京市西城区什刹海前海西街17号,一起去看看和珅家,40,5182,北京市
5,天坛公园,北京·北京·东城区,0.8,5A景区,北京市东城区天坛内东里7号,探寻古代皇帝祭天仪式的奥秘,20,4296,北京市
6,故宫,北京·北京·东城区,1,5A景区,北京市东城区景山前街4号,世界五大宫之首，穿越与您近在咫尺,60,24711,北京市
7,慕田峪长城,北京·北京·怀柔区,0.7,5A景区,北京市怀柔区慕田峪村,电影《非诚勿扰》取景地,40,4742,北京市
8,鸟巢,北京·北京·奥林匹克公园,0.84,5A景区,北京市朝阳区国家体育场南路1号奥林匹克公园内,北京的地标，中华民族崛起的象征,50,3853,北京市
9,八达岭长城缆车,北京·北京·八达岭长城,0,\N,北京市延庆县军都山关沟古道北口八达岭长城景区内,巍峨雄伟尽收眼底,140,2343,北京市
10,明十三陵,北京·北京·昌平区,0.72,5A景区,北京市昌平区十三陵特区,气势磅礴的陵寝建筑群,43.7,2640,北京市
11,北京动物园,北京·北京·西城区,0.72,4A景区,北京市西城区西直门外大街137号,百余种动物，让你离自然更近,175,3522,北京市
12,天安门广场,北京·北京·东城区,1,\N,北京市东城区天安门,我爱北京天安门，天安门上太阳升,27,4353,北京市
13,中国科学技术馆,北京·北京·朝阳区,0,4A景区,北京市朝阳区北辰东路5号,通过亲身参与，加深对科学的理解和感悟,40,1058,北京市
14,水立方,北京·北京·奥林匹克公园,0,\N,北京市朝阳区天辰东路11号奥林匹克公园内,中国的荣耀，阳光下的晶莹水滴,30,918,北京市
15,定陵,北京·北京·明十三陵,0.72,\N,北京市昌平区十三陵特区明十三陵,明十三陵中被开发的地下宫殿,43.7,1120,北京市
16,清华大学,北京·北京·海淀区,0.76,\N,北京市海淀区双清路30号,绿草青青，树木成荫，湖光山色，景色优雅,1.1,1032,北京市
17,景山公园,北京·北京·西城区,0.74,4A景区,北京市西城区景山西街44号,俯看故宫绝佳位置,8,948,北京市
18,毛主席纪念堂,北京·北京·东城区,0.76,\N,北京市东城区天安门广场人民英雄纪念碑南面,一代伟人的传世一生,58,1162,北京市
19,喇叭沟原始森林公园,北京·北京·怀柔区,0.7,\N,北京市怀柔区满族乡孙栅子,浩瀚森林、险峻百丈悬崖和神秘的大峡谷,36,738,北京市
20,北京杜莎夫人蜡像馆,北京·北京·前门大街,0,\N,北京市东城区前门大街8号,中轴线上的巨星之旅,90,680,北京市
21,北海公园,北京·北京·西城区,0.76,4A景区,北京市西城区文津街1号（故宫北）,让我们荡起双桨，小船儿推开波浪,1.1,562,北京市
22,慕田峪长城箱式索道,北京·北京·慕田峪长城,0,\N,北京市怀柔区渤海镇慕田峪村,饱览万里长城美景的缆车,40,676,北京市
23,什刹海,北京·北京·西城区,0.78,4A景区,北京市西城区羊房胡同,老北京的温柔乡，北京签到地,10,1006,北京市
24,北京天文馆,北京·北京·海淀区,0.72,3A景区,北京市海淀区西直门外大街138号,陪你去看流星雨,88,364,北京市
25,八达岭古长城（残长城）,北京·北京·延庆县,0,3A景区,北京市延庆县八达岭镇东沟村,八达岭古长城杏花节'杏好有你'开幕啦,42,384,北京市
26,居庸关长城,北京·北京·昌平区,0.72,4A景区,北京市昌平区南口镇居庸关长城,千年军事关口，地形险要，历史独特,37,426,北京市
27,香山公园,北京·北京·海淀区,0.72,4A景区,北京市海淀区买卖街40号,深秋时节，红叶漫山遍野，灿烂夺目,14,606,北京市
28,中国国家博物馆,北京·北京·东城区,0.7,\N,北京东城区东长安街16号天安门广场东侧,历史与艺术并重，凝聚中国历史文化之精华,58,242,北京市
29,珍宝馆,北京·北京·故宫,0,\N,北京市东城区景山前街4号,是故宫博物院重要的常年开馆的陈列馆之一,45,354,北京市
